Client ID,Portfolio ID,Stock Name,Ticker,ISIN,Sector,Shares Held,Purchase Price,Current Price,Acquisition Date,Purchase Value,Current Value,Profit/Loss (₹),Profit/Loss (%),Holding Period (days),Holding Period (years)
CL002,P02,Maruti Suzuki India Ltd,MARUTI,INE585B01010,Automobile,75,2522.77,2842.33,03/05/2023,189208.1,213174.58,23966.49,12.67,945,2.59
CL002,P04,Larsen & Toubro Ltd,LT,INE018A01030,Infrastructure,30,2142.95,2055.32,05/26/2023,64288.65,61659.56,-2629.08,-4.09,863,2.36
CL003,P02,Bharti Airtel Ltd,BHARTIARTL,INE397D01024,Telecom,40,2679.64,2773.67,02/05/2024,107185.45,110946.69,3761.24,3.51,608,1.67
CL005,P01,ICICI Bank Ltd,ICICIBANK,INE090A01021,Banking/Finance,200,871.25,791.35,01/21/2023,174250.91,158269.98,-15980.94,-9.17,988,2.71
CL003,P01,ITC Ltd,ITC,INE154A01025,FMCG/Tobacco,40,2034.12,2416.35,12/20/2023,81364.72,96653.86,15289.14,18.79,655,1.79
CL005,P01,Bharti Airtel Ltd,BHARTIARTL,INE397D01024,Telecom,40,1992.96,2299.11,10/16/2021,79718.52,91964.32,12245.79,15.36,1450,3.97
CL001,P03,Reliance Industries Ltd,RELIANCE,INE002A01018,Energy/Telecom,40,1498.26,1663.84,03/16/2023,59930.3,66553.42,6623.12,11.05,934,2.56
CL002,P02,Reliance Industries Ltd,RELIANCE,INE002A01018,Energy/Telecom,50,751.54,698.13,08/22/2024,37577.07,34906.62,-2670.45,-7.11,409,1.12
CL004,P04,Larsen & Toubro Ltd,LT,INE018A01030,Infrastructure,50,489.03,557.87,09/13/2024,24451.51,27893.58,3442.07,14.08,387,1.06
CL005,P04,Infosys Ltd,INFY,INE009A01021,IT Services,30,1570.18,1553.35,09/23/2022,47105.38,46600.49,-504.89,-1.07,1108,3.04
CL001,P02,Asian Paints Ltd,ASIANPAINT,INE021A01026,Chemicals/Paints,500,937.53,881.26,09/20/2022,468765.17,440631.53,-28133.64,-6.0,1111,3.04
CL001,P04,Tata Motors Ltd,TATAMOTORS,INE155A01022,Automobile,500,1653.75,1910.01,01/04/2023,826873.03,955004.26,128131.23,15.5,1005,2.75
CL005,P05,ITC Ltd,ITC,INE154A01025,FMCG/Tobacco,100,1950.13,2329.7,08/13/2023,195012.66,232970.21,37957.56,19.46,784,2.15
CL002,P03,Sun Pharmaceutical,SUNPHARMA,INE044A01036,Pharma,500,757.39,816.15,09/16/2022,378692.92,408077.41,29384.49,7.76,1115,3.05
CL002,P02,State Bank of India,SBIN,INE062A01020,Banking/Finance,50,2134.11,2480.4,06/27/2023,106705.36,124020.2,17314.85,16.23,831,2.28
CL003,P02,Bharti Airtel Ltd,BHARTIARTL,INE397D01024,Telecom,20,1915.77,1842.03,10/18/2021,38315.39,36840.51,-1474.88,-3.85,1448,3.97
CL003,P04,Wipro Ltd,WIPRO,INE075A01022,IT Services,40,2869.23,3248.33,03/25/2022,114769.0,129933.21,15164.2,13.21,1290,3.53
CL001,P02,Reliance Industries Ltd,RELIANCE,INE002A01018,Energy/Telecom,20,630.71,645.9,05/25/2022,12614.16,12918.06,303.9,2.41,1229,3.37
CL004,P05,Wipro Ltd,WIPRO,INE075A01022,IT Services,50,2774.05,2941.64,07/01/2023,138702.4,147081.86,8379.46,6.04,827,2.27
CL002,P03,Hindustan Unilever Ltd,HINDUNILVR,INE030A01027,FMCG,200,2306.75,2619.84,10/15/2024,461350.24,523968.59,62618.35,13.57,355,0.97
CL004,P02,Asian Paints Ltd,ASIANPAINT,INE021A01026,Chemicals/Paints,40,1341.21,1333.4,11/14/2021,53648.54,53335.82,-312.72,-0.58,1421,3.89
CL001,P01,HDFC Bank Ltd,HDFCBANK,INE040A01034,Banking/Finance,40,1413.17,1676.77,01/26/2024,56526.91,67070.76,10543.84,18.65,618,1.69
CL003,P01,Sun Pharmaceutical,SUNPHARMA,INE044A01036,Pharma,20,2175.5,2527.86,10/16/2022,43510.0,50557.18,7047.18,16.2,1085,2.97
CL004,P04,Infosys Ltd,INFY,INE009A01021,IT Services,100,1837.92,1919.19,09/10/2021,183791.91,191918.69,8126.78,4.42,1486,4.07
CL001,P05,ICICI Bank Ltd,ICICIBANK,INE090A01021,Banking/Finance,40,1945.05,2293.76,03/05/2022,77801.86,91750.51,13948.64,17.93,1310,3.59
CL001,P05,Infosys Ltd,INFY,INE009A01021,IT Services,500,2120.08,2235.22,03/14/2022,1060039.62,1117609.83,57570.21,5.43,1301,3.56
CL005,P05,ICICI Bank Ltd,ICICIBANK,INE090A01021,Banking/Finance,50,828.23,919.03,02/22/2022,41411.72,45951.54,4539.82,10.96,1321,3.62
